uid,name,city,longitude,latitude,country
5c155c2d-d170-4a86-8fae-0bb6c01873a3,Terrabalt Terminal Liepaja,Liepaja,21.02012,56.531861,Latvia
5ab1a957-bd3f-4b6f-9192-fedd4aa409c4,TriCon Container Terminal Nürnberg,Nürnberg,11.0533,49.401742,Germany
d5210b42-9b34-41da-b84b-8373512e3e84,Vigo,Pontevedra,-8.70764673,42.24494817,Spain
f70f9b48-a69a-4009-bde5-6767bc08003b,Terminal de Contenedores Sevilla La Negrilla,Sevilla,-5.93871653,37.37321815,Spain
5211fcb5-f92c-4c33-971a-6f587cea3a87,Bremerhaven Container Terminal,Bremerhaven,8.629731,53.523107,Germany
c3d3e247-8d61-4832-bc5e-3505e51a4092,BILK Kombiterminál Budapest,Budapest,19.124867,47.585873,Hungary
6a140e13-8a7e-41c5-bb32-868d04877c07,Lugano Vedeggio,Lugano,8.918043,46.023198,Switzerland
28191671-f16b-435a-a4b6-7b983298ff9d,Basel Wolf (Hupac/SBB),Basel,7.5879854,47.58286196,Switzerland
39391fee-3b57-4979-aecf-778cda9b4577,Terminal de Méditerranée (Fos-sur-Mer),Fos-sur-Mer,4.83825445,43.40848483,France
59ea2b66-d303-4c2f-9516-752699adb8fb,"Hutchison Ports BEST, Port Barcelona",Barcelona,2.17313647,41.36696585,Spain
33296a99-6ec6-4ebe-b581-33314e67b9bd,Wels Verschiebebahnhof,Wels,14.07252073,48.18853199,Austria
5bd22aac-de57-425d-8d03-b5fb3638e1aa,Lübeck Schlutup,Lübeck,10.69135487,53.88091327,Germany
be1030b8-f75b-4bfa-9406-ceee3893eaa9,Rail Terminal Chemelot (Geleen),Geleen,5.82846,50.9678,Netherlands
35b60865-f8ad-4696-8b36-3ce6579cd628,Busto Arsizio-Gallarate,Busto Arsizio,8.864929,45.610561,Italy
bee2524a-f8c1-4cc8-b2ad-7914c9293f50,Terminal Intermodale Maddaloni-Marcianise,Maddaloni,14.368579,41.009924,Italy
6d9b455a-7cc8-4e71-b0e6-1426db5552f9,Piacenza Intermodale,Piacenza,9.75016826,45.03399829,Italy
677b140f-4b6b-4b5a-8efa-48e61fba3e94,Industriepark Unna-Nord,Unna,7.706339,51.569161,Germany
446aa403-e959-45a7-930e-42113290b84b,Berlin Westhafen,Berlin,13.333588242530823,52.53688516772091,Germany
33fffdc0-b524-405a-911b-db7bd84368ff,Köln-Eifeltor,Köln,6.92208,50.891711,Germany
ed71d2d3-6816-477c-bd95-c7c3e58826a0,Interporto Quadrante Europa Verona,Verona,10.91621813,45.41726362,Italy
fa20a7db-2642-4bc1-8807-8f07fde6ad47,Terminal Aarau Ct,Aarau,8.05795,47.391602,Switzerland
4288d9d9-eb84-4452-949e-74f2d7ee9144,Chiasso,Balerna,9.019704,45.838555,Switzerland
57b7726c-541a-478f-a5c1-5567813fec17,München Riem Ubf,München,11.70619011,48.14529346,Germany
ed71d2d3-6816-477c-bd95-c7c3e58826a0,Interporto Quadrante Europa Verona,Verona,10.91621813,45.41726362,Italy
579bff7b-117c-42d0-92ba-19ed3d597b3f,Ludwigshafen KTL,Ludwigshafen,8.43658268,49.45842456,Germany
bcc33ee5-528a-4c5b-8289-c9497e10f14e,DUSS-Terminal Duisburg Ruhrort Hafen,Duisburg,6.749656,51.451728,Germany
00f6d2f5-3968-4c9c-9fd5-f073a138cb3e,Gevrey,Gevrey-Chambertin,5.01818776,47.25371821,France
539c5f5f-6d0b-40ca-9225-88ac85b57593,Seayard,Port St Louis du Rhône Cedex,4.824356,43.41929,France
39391fee-3b57-4979-aecf-778cda9b4577,Terminal de Méditerranée (Fos-sur-Mer),Fos-sur-Mer,4.83825445,43.40848483,France
e50284e4-bfa5-4300-a100-865e5c8c5f4a,Pomézia S. Palomba,Pomézia,12.5066,41.681702,Italy
